"","ppt","age","sex","condition","version","type_quest","type_resp","resp","conf","type","cond_rc","cond_rc2","type_rc","type_rc2"
"264",22,18,"F","Contrôle","B","neutral_4","Tête",1,4,"neutral",0,2,1,-1
"265",23,18,"F","Contrôle","B","leading_1","Police",1,3,"leading",0,2,1,1
"266",23,18,"F","Contrôle","B","leading_2","2ème étage",0,3,"leading",0,2,1,1
"267",23,18,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"268",23,18,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"269",23,18,"F","Contrôle","B","misleading_1","Femme",0,5,"misleading",0,2,-2,0
"270",23,18,"F","Contrôle","B","misleading_2","menaces d'attentat",0,2,"misleading",0,2,-2,0
"271",23,18,"F","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"272",23,18,"F","Contrôle","B","misleading_4","matraque",1,2,"misleading",0,2,-2,0
"273",23,18,"F","Contrôle","B","neutral_1","3",1,3,"neutral",0,2,1,-1
"274",23,18,"F","Contrôle","B","neutral_2","Front",1,2,"neutral",0,2,1,-1
"275",23,18,"F","Contrôle","B","neutral_3","Quasiment pleine",1,4,"neutral",0,2,1,-1
"276",23,18,"F","Contrôle","B","neutral_4","Tête",1,3,"neutral",0,2,1,-1
"277",24,19,"F","Contrôle","B","leading_1","Police",1,2,"leading",0,2,1,1
"278",24,19,"F","Contrôle","B","leading_2","1er étage",1,1,"leading",0,2,1,1
"279",24,19,"F","Contrôle","B","leading_3","""députés tous pourris""",1,3,"leading",0,2,1,1
"280",24,19,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"281",24,19,"F","Contrôle","B","misleading_1","Homme",1,4,"misleading",0,2,-2,0
"282",24,19,"F","Contrôle","B","misleading_2","menaces d'attentat",0,2,"misleading",0,2,-2,0
"283",24,19,"F","Contrôle","B","misleading_3","place",0,3,"misleading",0,2,-2,0
"284",24,19,"F","Contrôle","B","misleading_4","matraque",1,5,"misleading",0,2,-2,0
"285",24,19,"F","Contrôle","B","neutral_1","2",0,1,"neutral",0,2,1,-1
"286",24,19,"F","Contrôle","B","neutral_2","Bras",0,2,"neutral",0,2,1,-1
"287",24,19,"F","Contrôle","B","neutral_3","Quasiment vide",0,1,"neutral",0,2,1,-1
"288",24,19,"F","Contrôle","B","neutral_4","Tête",1,3,"neutral",0,2,1,-1
"289",25,19,"F","Contrôle","B","leading_1","Journalistes",0,4,"leading",0,2,1,1
"290",25,19,"F","Contrôle","B","leading_2","2ème étage",0,2,"leading",0,2,1,1
"291",25,19,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"292",25,19,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"293",25,19,"F","Contrôle","B","misleading_1","Homme",1,4,"misleading",0,2,-2,0
"294",25,19,"F","Contrôle","B","misleading_2","menaces d'attentat",0,3,"misleading",0,2,-2,0
